Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
73,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,1987,34.0,1.65,0.15,0.03,0.06,0.06,1.54,0.31,-0.05,-0.05,6.85,17.0,40.2,28.0,4.26,41.9,36.5,8.44,63.1,47.7,15.6,0.71,4.5,1.50,1.50,16.7,Matches,17376543
74,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25.0,1.00,0.16,0.00,0.16,0.04,0.96,0.33,-0.00,0.00,5.20,12.2,42.8,25.1,4.76,32.1,31.4,6.04,68.2,49.5,14.5,0.68,4.7,1.24,1.24,16.1,Matches,cecbce23
75,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1.0,2.00,0.00,0.00,0.00,0.00,0.70,0.16,-1.30,-1.35,1.00,4.00,25.0,18.0,5.00,0.0,21.9,11.0,36.4,36.8,10.0,1.00,10.0,0.00,0.00,10.8,Matches,f26dee6b
76,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,1996,21.0,1.33,0.10,0.05,0.24,0.05,1.10,0.25,-0.18,-0.18,4.62,12.7,36.3,20.0,4.14,41.5,35.2,7.90,56.0,43.5,14.8,0.76,5.2,0.62,0.62,11.7,Matches,3f034750
77,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,13.3,2.03,0.08,0.08,0.08,0.15,1.80,0.34,-0.08,-0.08,4.81,12.5,38.6,21.8,4.81,34.8,34.4,8.27,59.1,46.6,13.0,0.45,3.5,1.05,1.05,14.1,Matches,667b65da
78,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,24,1997,1.0,3.00,0.00,1.00,0.00,0.00,1.50,0.24,-1.50,-1.53,1.00,10.0,10.0,21.0,6.00,33.3,34.1,10.0,30.0,32.7,13.0,0.00,0.0,1.00,1.00,12.5,Matches,30061f53
79,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,22,1999,1.0,2.00,0.00,0.00,0.00,1.00,1.80,0.31,0.80,+0.84,5.00,17.0,29.4,37.0,7.00,29.7,28.5,10.0,60.0,43.8,12.0,0.00,0.0,0.00,0.00,12.0,Matches,37998008
80,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,1987,29.5,1.12,0.10,0.03,0.34,0.00,0.98,0.23,-0.14,-0.14,3.56,9.56,37.2,26.4,6.17,26.6,28.3,6.81,37.3,31.5,13.1,0.58,4.4,1.22,1.22,16.3,Matches,ab13a5aa
81,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,1990,33.0,1.03,0.09,0.00,0.18,0.03,0.97,0.27,-0.03,-0.03,3.55,9.39,37.7,29.6,4.91,24.9,29.5,6.00,33.8,33.1,10.6,0.42,4.0,1.85,1.85,20.6,Matches,bcb2ccd8
82,Angus Gunn,eng ENG,GK,Norwich City,eng Premier League,25,1996,9.0,2.44,0.22,0.00,0.22,0.00,2.14,0.30,-0.30,-0.30,5.00,14.3,34.9,24.3,5.22,43.4,34.5,9.56,39.5,34.5,19.4,0.33,1.7,1.56,1.56,17.3,Matches,e082af5b
83,Samir Handanović,si SVN,GK,Inter,it Serie A,37,1984,37.0,0.81,0.11,0.00,0.08,0.03,0.90,0.24,0.11,+0.11,3.76,8.14,46.2,30.2,4.76,24.3,28.1,3.84,20.4,26.5,10.6,0.41,3.8,0.27,0.27,11.2,Matches,74419746
84,Wayne Hennessey,wls WAL,GK,Burnley,eng Premier League,34,1987,2.0,3.00,0.00,0.00,0.50,0.50,1.60,0.26,-0.90,-0.91,13.5,31.5,42.9,28.5,3.50,77.2,50.8,10.5,90.5,63.6,18.5,0.00,0.0,2.00,2.00,17.0,Matches,76eca7e2
85,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,28,1993,36.0,1.33,0.11,0.00,0.28,0.03,1.34,0.29,0.03,+0.03,10.8,23.6,45.6,23.7,2.17,69.0,46.5,8.50,85.6,58.5,14.7,0.64,4.3,1.78,1.78,18.1,Matches,a4995f48
86,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,33,1987,4.5,2.67,0.44,0.00,0.22,0.00,1.91,0.27,-0.76,-0.76,3.56,7.11,50.0,32.7,6.89,18.4,27.7,6.67,16.7,28.2,12.0,0.67,5.6,2.00,2.00,20.6,Matches,2e7ff968
87,Timo Horn,de GER,GK,Köln,de Bundesliga,28,1993,13.0,1.62,0.00,0.00,0.23,0.08,1.52,0.36,-0.02,-0.02,5.15,12.8,40.4,33.7,3.62,32.2,33.1,6.23,30.9,33.4,11.5,0.31,2.7,1.46,1.46,17.4,Matches,3cd9e95a
88,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,31,1989,32.0,1.38,0.06,0.06,0.19,0.00,1.31,0.26,-0.07,-0.07,4.06,11.9,34.1,32.8,5.41,27.8,30.6,6.53,42.6,37.4,12.0,0.53,4.4,1.41,1.41,17.5,Matches,ad3389d5
89,Stefanos Kapino,gr GRE,GK,Arminia,de Bundesliga,27,1994,1.0,0.00,0.00,0.00,0.00,0.00,1.00,0.26,1.00,+1.02,7.00,16.0,43.8,21.0,3.00,38.1,37.3,10.0,80.0,48.9,31.0,1.00,3.2,2.00,2.00,18.4,Matches,62ba5881
90,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38,1983,1.0,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.10,+0.07,3.00,6.00,50.0,23.0,5.00,13.0,26.0,7.00,42.9,31.7,12.0,2.00,16.7,0.00,0.00,12.0,Matches,a4527d33
91,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2.0,1.00,0.00,0.00,0.00,0.00,1.10,0.28,0.10,+0.11,1.00,5.00,20.0,39.0,6.50,11.5,22.7,6.50,7.7,23.0,10.0,0.00,0.0,1.50,1.50,17.1,Matches,62d7ef38
92,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,0.4,0.00,0.00,0.00,0.00,0.00,1.50,0.14,1.50,+1.38,2.50,7.50,33.3,20.0,5.00,25.0,30.4,7.50,33.3,28.7,17.5,0.00,0.0,5.00,5.00,23.7,Matches,3f70db80
93,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,28.5,1.37,0.11,0.07,0.18,0.07,1.31,0.32,0.01,+0.02,2.70,8.42,32.1,29.3,4.98,20.5,27.5,6.49,37.3,35.4,12.0,0.60,5.0,1.72,1.72,16.1,Matches,cd59b9df
94,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29.0,2.14,0.24,0.03,0.24,0.07,1.67,0.27,-0.40,-0.40,4.62,13.8,33.6,29.2,5.79,34.5,34.3,7.72,47.8,40.1,15.2,0.48,3.2,0.66,0.66,12.6,Matches,f23f9d20
95,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38.0,1.26,0.11,0.00,0.16,0.03,1.37,0.30,0.14,+0.14,5.42,16.0,33.9,21.7,3.61,46.2,39.2,7.58,78.5,55.5,12.9,0.71,5.5,1.47,1.47,14.9,Matches,4e7db402
96,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,1985,25.7,1.28,0.12,0.04,0.08,0.00,1.24,0.29,-0.05,-0.05,4.20,10.1,41.7,20.8,5.18,35.3,31.3,7.74,35.2,33.1,11.4,0.70,6.1,0.93,0.93,14.2,Matches,edbe46dc
97,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,1993,38.0,1.34,0.29,0.00,0.26,0.00,1.39,0.24,0.05,+0.05,7.16,20.8,34.3,22.1,3.13,63.3,46.0,8.24,83.1,60.2,15.4,1.11,7.2,0.74,0.74,12.1,Matches,6c4776b1
98,Bernd Leno,de GER,GK,Arsenal,eng Premier League,29,1992,4.0,2.25,0.00,0.00,0.00,0.00,2.35,0.50,0.10,+0.11,4.25,13.3,32.1,19.3,3.25,35.1,33.8,9.25,70.3,50.4,18.3,1.50,8.2,0.25,0.25,7.3,Matches,2628fd2b
99,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,20.0,0.00,0.0,22.0,10.0,0.0,34.0,10.0,0.00,0.0,0.00,0.00,,Matches,96fcd380
100,Luca Lezzerini,it ITA,GK,Venezia,it Serie A,26,1995,5.5,1.64,0.00,0.00,0.00,0.00,1.69,0.25,0.05,+0.05,4.00,10.7,37.3,28.2,7.09,28.4,30.3,8.00,34.1,31.0,18.2,0.36,2.0,0.55,0.55,13.8,Matches,c9c32262
101,Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12.0,2.00,0.08,0.00,0.42,0.08,1.64,0.31,-0.27,-0.27,5.25,17.6,29.9,34.0,5.75,39.0,35.1,7.25,59.8,44.8,18.9,1.08,5.7,0.83,0.83,13.8,Matches,4d6a842d
102,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38.0,1.05,0.05,0.03,0.13,0.03,0.99,0.26,-0.04,-0.04,3.03,7.34,41.2,17.8,4.24,29.6,31.0,7.32,28.4,26.5,14.9,0.87,5.8,1.18,1.18,14.2,Matches,8f62b6ee
103,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,1990,33.1,1.36,0.09,0.03,0.24,0.09,1.29,0.26,0.02,+0.02,3.41,7.95,43.0,27.5,4.83,23.0,29.3,6.62,24.7,31.4,12.4,0.51,4.1,0.85,0.85,14.6,Matches,f00de885
104,Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,35.3,1.39,0.08,0.00,0.11,0.06,1.42,0.31,0.09,+0.09,4.48,12.2,36.8,24.3,5.86,33.8,33.8,8.44,46.6,38.7,17.5,0.99,5.7,1.22,1.22,13.7,Matches,73683fa9
105,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29.0,1.07,0.14,0.00,0.17,0.00,1.04,0.32,-0.03,-0.03,2.72,8.55,31.9,40.2,5.00,16.8,25.8,5.76,31.1,33.4,9.34,0.66,7.0,1.59,1.59,17.8,Matches,20b9f052
106,Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2.0,2.50,0.00,0.00,0.00,0.00,1.60,0.46,-0.90,-0.90,4.50,12.5,36.0,24.0,3.00,43.8,35.7,6.50,30.8,31.7,15.0,0.50,3.3,2.50,2.50,22.7,Matches,939bc634
107,Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,9.8,2.04,0.31,0.00,0.41,0.00,1.41,0.23,-0.63,-0.63,6.43,19.2,33.5,26.7,4.80,52.3,39.7,7.45,69.9,52.5,14.7,1.33,9.0,1.02,1.02,12.1,Matches,5584552e
108,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2.0,1.00,0.50,0.00,0.00,0.00,1.80,0.22,0.80,+0.81,2.50,5.00,50.0,28.5,6.50,7.0,23.3,11.5,26.1,33.6,19.5,1.50,7.7,0.00,0.00,9.9,Matches,3061e1ec
109,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1.0,1.00,0.00,0.00,0.00,0.00,0.40,0.19,-0.60,-0.62,4.00,10.0,40.0,43.0,5.00,14.0,25.4,6.00,66.7,53.7,21.0,0.00,0.0,0.00,0.00,13.0,Matches,8a6ab963
110,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27.0,1.44,0.07,0.00,0.19,0.11,1.13,0.29,-0.20,-0.20,6.04,17.5,34.5,29.0,4.52,43.6,36.0,8.04,59.9,44.2,14.8,1.07,7.3,0.89,0.89,12.9,Matches,7fe12375
111,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,16.5,1.64,0.30,0.00,0.24,0.00,1.71,0.28,0.07,+0.07,4.24,13.4,31.7,23.0,4.48,43.5,36.0,8.67,39.2,35.4,16.7,0.36,2.2,0.61,0.61,10.8,Matches,14a96e1c
112,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32.0,0.66,0.06,0.00,0.13,0.03,0.76,0.22,0.13,+0.13,4.91,11.7,42.0,31.4,5.13,31.4,33.0,4.66,38.9,36.5,10.8,0.78,7.2,1.41,1.41,16.8,Matches,fcb38f57
113,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18.0,1.11,0.11,0.00,0.11,0.00,1.17,0.26,0.06,+0.06,6.39,17.4,36.6,19.2,3.56,57.8,41.4,8.28,76.5,53.7,15.2,0.72,4.8,1.61,1.61,16.3,Matches,d4b73232
114,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9.0,0.78,0.00,0.00,0.33,0.11,0.74,0.26,0.08,+0.08,4.44,11.6,38.5,36.9,4.11,23.5,28.0,7.44,38.8,34.4,15.0,0.67,4.4,2.33,2.33,19.1,Matches,1d2d5cc8
115,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10.0,1.40,0.00,0.00,0.20,0.10,1.26,0.29,-0.04,-0.04,3.70,13.9,26.6,18.4,3.70,50.5,40.5,8.80,52.3,45.2,18.6,0.80,4.3,0.80,0.80,11.6,Matches,f7d3a773
116,Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,0.1,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,+0.44,0.00,0.00,,10.0,10.0,0.0,15.0,0.00,,,10.0,0.00,0.0,0.00,0.00,,Matches,880fcdbb
117,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,28,1992,36.0,1.33,0.11,0.06,0.14,0.06,1.17,0.27,-0.11,-0.11,4.06,11.3,36.0,22.9,4.50,36.4,33.6,7.64,38.5,34.1,13.2,0.94,7.2,0.92,0.92,15.4,Matches,7956236f
118,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1.0,3.00,0.00,0.00,0.00,0.00,1.50,0.37,-1.50,-1.51,2.00,5.00,40.0,14.0,1.00,28.6,29.6,7.00,14.3,29.4,4.00,0.00,0.0,4.00,4.00,25.0,Matches,11d8aff0
119,Luís Maximiano,pt POR,GK,Granada,es La Liga,22,1999,34.8,1.58,0.14,0.00,0.20,0.06,1.61,0.28,0.09,+0.09,6.67,21.0,31.8,24.1,4.28,56.7,42.6,9.63,75.8,52.5,16.5,0.83,5.1,1.55,1.55,17.6,Matches,3318286e
120,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,31,1989,17.0,1.59,0.00,0.00,0.35,0.00,1.26,0.31,-0.32,-0.32,4.35,14.5,30.1,22.5,4.59,40.7,34.7,7.35,72.0,50.6,15.0,1.29,8.6,0.29,0.29,9.6,Matches,36c2ca73
121,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,29,1992,34.0,0.91,0.18,0.00,0.03,0.03,0.84,0.22,-0.05,-0.05,2.44,5.68,43.0,22.9,4.53,18.9,25.3,5.21,26.0,24.9,11.0,0.82,7.5,1.35,1.35,14.9,Matches,33887998
122,Alex Meret,it ITA,GK,Napoli,it Serie A,24,1997,6.9,0.87,0.00,0.00,0.00,0.00,0.93,0.22,0.06,+0.06,1.88,4.20,44.8,23.2,6.52,12.5,25.1,5.22,25.0,26.5,12.9,0.43,3.4,0.72,0.73,14.6,Matches,9413b19f
123,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,21,2000,37.6,2.10,0.13,0.08,0.27,0.03,1.64,0.26,-0.43,-0.43,2.87,10.9,26.3,29.3,7.29,27.5,29.3,7.66,37.2,33.3,11.6,0.61,5.3,1.20,1.20,14.2,Matches,6b625ac2
124,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,24,1997,27.0,1.22,0.26,0.07,0.15,0.00,0.99,0.24,-0.23,-0.23,7.11,24.4,29.1,31.4,3.59,59.5,44.4,6.26,91.1,66.3,10.7,0.67,6.2,0.81,0.81,14.3,Matches,9fa26bc2
125,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,25,1996,34.0,1.47,0.06,0.03,0.21,0.06,1.19,0.28,-0.22,-0.22,5.56,17.0,32.8,21.6,3.53,57.2,42.3,6.79,68.4,46.5,14.6,0.62,4.2,0.68,0.68,13.1,Matches,c1d95617
126,Jessy Moulin,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7.0,1.14,0.29,0.14,0.14,0.00,1.11,0.25,-0.03,-0.02,4.57,13.9,33.0,23.4,5.71,37.8,35.7,10.7,46.7,37.7,15.6,1.57,10.1,1.29,1.29,11.4,Matches,28a65a2c
127,Florian Müller,de GER,GK,Stuttgart,de Bundesliga,23,1997,30.0,1.73,0.13,0.03,0.17,0.03,1.54,0.31,-0.16,-0.16,3.07,7.83,39.1,25.8,5.07,21.2,27.3,8.00,29.6,30.7,14.9,0.57,3.8,1.23,1.23,15.4,Matches,cbac6ec9
128,Juan Musso,ar ARG,GK,Atalanta,it Serie A,27,1994,32.6,1.29,0.09,0.00,0.06,0.09,1.15,0.30,-0.05,-0.05,4.51,10.7,42.2,22.8,5.21,27.4,31.3,6.38,69.2,49.7,9.45,0.86,9.1,1.20,1.20,16.5,Matches,a111cf41
129,Paul Nardi,fr FRA,GK,Lorient,fr Ligue 1,27,1994,22.0,1.73,0.18,0.18,0.14,0.14,1.39,0.30,-0.20,-0.20,3.23,13.5,24.0,16.2,3.55,45.7,38.5,8.05,75.1,56.0,15.7,0.18,1.2,0.68,0.68,13.1,Matches,2d70dbe5
130,Keylor Navas,cr CRC,GK,Paris S-G,fr Ligue 1,34,1986,20.6,0.87,0.10,0.00,0.10,0.00,0.89,0.21,0.01,+0.01,1.12,2.82,39.7,20.1,4.85,11.3,24.5,6.41,8.3,22.2,11.6,0.24,2.1,0.97,0.97,16.3,Matches,ecada4fc
131,Neto,br BRA,GK,Barcelona,es La Liga,32,1989,3.0,1.33,0.00,0.33,0.33,0.00,1.37,0.29,0.03,+0.02,5.67,11.3,50.0,35.3,6.00,28.3,31.6,8.00,16.7,29.2,14.0,0.00,0.0,1.33,1.33,18.0,Matches,a9dc785c
132,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,35,1986,27.9,0.93,0.04,0.00,0.04,0.00,0.86,0.26,-0.08,-0.07,3.94,7.99,49.3,38.9,5.84,19.0,27.6,5.95,10.2,25.3,9.39,0.32,3.4,3.41,3.41,26.2,Matches,8778c910
133,Alexander Nübel,de GER,GK,Monaco,fr Ligue 1,24,1996,38.0,1.05,0.21,0.00,0.13,0.08,1.09,0.24,0.12,+0.12,4.21,10.9,38.6,22.1,4.55,31.9,32.5,7.37,52.5,42.5,11.2,0.61,5.4,1.21,1.21,17.2,Matches,afb0c500
134,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,28,1993,38.0,1.13,0.18,0.05,0.11,0.08,0.85,0.23,-0.20,-0.20,4.47,15.7,28.4,21.3,4.08,49.9,39.0,7.45,68.6,48.6,12.6,0.71,5.7,0.76,0.76,13.8,Matches,ee8508c0
135,Oier Olazábal,es ESP,GK,Espanyol,es La Liga,31,1989,1.5,0.67,0.67,0.00,0.00,0.00,1.60,0.15,0.93,+0.91,6.00,18.0,33.3,22.0,3.33,51.5,40.8,6.67,100.0,57.2,20.0,2.00,10.0,0.00,0.00,3.7,Matches,b5bdf144
136,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,31,1990,1.0,3.00,0.00,0.00,0.00,0.00,2.20,0.44,-0.80,-0.78,8.00,25.0,32.0,26.0,7.00,46.2,38.3,20.0,65.0,48.6,28.0,5.00,17.9,0.00,0.00,5.8,Matches,e7ee38c3
137,Jonas Omlin,ch SUI,GK,Montpellier,fr Ligue 1,27,1994,28.7,1.43,0.10,0.00,0.03,0.03,1.54,0.26,0.15,+0.15,4.67,11.6,40.4,28.2,6.24,27.4,30.3,9.13,42.4,37.0,16.2,1.29,7.9,0.94,0.94,13.5,Matches,c631f952
138,Stefan Ortega,de GER,GK,Arminia,de Bundesliga,28,1992,33.0,1.61,0.21,0.03,0.18,0.06,1.69,0.28,0.15,+0.15,12.5,27.3,45.7,43.9,2.76,49.6,39.2,9.61,58.0,46.9,16.0,0.33,2.1,1.39,1.39,18.6,Matches,c1242d4e
139,David Ospina,co COL,GK,Napoli,it Serie A,32,1988,31.0,0.81,0.03,0.00,0.10,0.03,0.89,0.26,0.12,+0.12,2.35,6.23,37.8,27.2,4.00,20.7,28.6,4.35,14.1,22.5,11.4,0.58,5.1,1.00,1.00,17.0,Matches,82b1198a
140,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,33,1988,20.8,1.88,0.14,0.05,0.10,0.10,1.43,0.30,-0.35,-0.35,6.30,16.1,39.1,20.7,6.59,48.0,39.7,8.03,76.6,54.9,15.3,1.88,12.2,2.02,2.02,14.8,Matches,ae7d0ecd
141,Jesús Owono,gq EQG,GK,Alavés,es La Liga,20,2001,1.0,1.00,0.00,0.00,0.00,0.00,0.80,0.19,-0.20,-0.25,9.00,21.0,42.9,20.0,2.00,90.0,53.3,3.00,100.0,68.3,8.00,0.00,0.0,2.00,2.00,17.6,Matches,d6e3d7fb
142,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,29,1992,33.9,1.77,0.15,0.00,0.27,0.00,1.53,0.31,-0.24,-0.24,9.76,20.4,47.8,21.3,2.51,64.2,44.5,9.09,74.7,50.6,16.1,0.71,4.4,1.27,1.27,15.7,Matches,97852360
143,Daniele Padelli,it ITA,GK,Udinese,it Serie A,35,1985,3.0,2.67,0.00,0.00,0.00,0.00,2.33,0.33,-0.33,-0.34,4.00,14.0,28.6,29.7,6.33,34.8,29.6,7.33,50.0,40.9,18.7,0.33,1.8,0.67,0.67,13.2,Matches,cf1c23d8
144,Ivor Pandur,hr CRO,GK,Hellas Verona,it Serie A,21,2000,3.0,2.00,0.33,0.33,0.33,0.00,1.90,0.33,-0.10,-0.10,5.00,8.67,57.7,17.7,3.00,34.0,33.1,5.00,53.3,37.1,7.33,0.33,4.5,0.33,0.33,11.3,Matches,457cb02f
