Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
145,Rui Patrício,pt POR,GK,Roma,it Serie A,33,1988,38.0,1.13,0.13,0.05,0.13,0.05,1.11,0.25,0.03,+0.03,4.58,10.3,44.3,22.5,3.71,37.7,34.2,5.84,32.0,31.5,10.3,0.32,3.1,0.68,0.68,14.3,Matches,79b0d6a0
146,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,40,1981,1.0,3.00,0.00,0.00,1.00,0.00,1.80,0.37,-1.20,-1.17,2.00,5.00,40.0,26.0,4.00,15.4,26.7,8.00,12.5,19.8,8.00,1.00,12.5,0.00,0.00,6.0,Matches,f058ed1f
147,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,36,1985,1.0,3.00,0.00,0.00,0.00,0.00,1.70,0.24,-1.30,-1.34,5.00,13.0,38.5,32.0,5.00,34.4,28.5,7.00,28.6,30.1,10.0,1.00,10.0,0.00,0.00,11.3,Matches,c41f7379
148,Juan Pérez,es ESP,GK,Osasuna,es La Liga,25,1996,2.0,1.50,0.00,0.00,0.50,0.50,0.55,0.26,-0.45,-0.47,4.00,13.0,30.8,16.0,3.00,56.3,43.6,4.50,88.9,61.6,8.50,0.50,5.9,3.50,3.50,22.0,Matches,8f29e08b
149,Mattia Perin,it ITA,GK,Juventus,it Serie A,28,1992,4.5,1.56,0.00,0.00,0.22,0.22,1.20,0.35,-0.13,-0.14,2.89,7.56,38.2,24.0,3.78,25.9,29.6,5.78,23.1,29.2,17.1,0.22,1.3,0.89,0.89,12.6,Matches,4c62d0c8
150,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33,1987,6.0,2.33,0.17,0.17,0.33,0.17,1.88,0.27,-0.28,-0.29,3.00,9.67,31.0,26.3,5.17,31.0,31.8,8.17,18.4,26.4,16.2,0.33,2.1,1.17,1.17,13.6,Matches,c89e8aae
151,Danijel Petković,me MNE,GK,Angers,fr Ligue 1,28,1993,15.0,1.47,0.13,0.00,0.07,0.13,1.27,0.27,-0.07,-0.07,2.60,8.40,31.0,22.2,6.20,22.8,29.8,8.00,41.7,37.1,13.2,1.00,7.6,1.07,1.07,13.2,Matches,b98cea65
152,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,27,1994,35.0,1.66,0.03,0.06,0.29,0.11,1.48,0.31,-0.07,-0.07,7.77,22.3,34.8,24.9,3.40,64.6,46.4,7.63,81.6,60.5,14.8,0.66,4.4,1.00,1.00,14.9,Matches,4806ec67
153,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,31,1990,0.5,2.00,2.00,0.00,0.00,0.00,2.20,0.08,0.20,+0.29,2.00,2.00,100.0,20.0,0.00,10.0,29.6,2.00,0.0,37.0,24.0,0.00,0.0,0.00,0.00,,Matches,f6a06749
154,Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,26,1994,4.8,1.25,0.83,0.00,0.21,0.00,1.56,0.14,0.31,+0.31,2.71,7.29,37.1,29.2,5.21,20.0,27.1,7.08,20.6,27.0,9.79,0.21,2.1,1.46,1.44,17.4,Matches,d6f6ce93
155,Nick Pope,eng ENG,GK,Burnley,eng Premier League,29,1992,36.0,1.31,0.14,0.03,0.17,0.03,1.23,0.25,-0.05,-0.05,8.86,22.4,39.5,22.0,4.08,69.2,46.2,7.86,91.2,61.2,16.8,1.28,7.6,2.22,2.22,17.4,Matches,4b40d9ca
156,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,22,1999,13.0,2.23,0.15,0.00,0.38,0.15,1.57,0.27,-0.51,-0.51,5.77,15.2,37.9,28.7,4.23,36.5,33.1,8.54,55.9,41.0,14.7,0.77,5.2,3.08,3.08,17.6,Matches,c252c705
157,Alejandro Primo,es ESP,GK,Levante,es La Liga,17,2004,1.0,1.00,0.00,0.00,0.00,0.00,0.80,0.41,-0.20,-0.18,2.00,6.00,33.3,17.0,0.00,29.4,31.2,8.00,12.5,20.9,19.0,0.00,0.0,0.00,0.00,15.0,Matches,f38284bb
158,Ivan Provedel,it ITA,GK,Spezia,it Serie A,27,1994,30.7,1.69,0.29,0.10,0.13,0.10,1.55,0.24,-0.05,-0.04,6.71,20.1,33.4,31.2,4.33,47.8,40.1,7.46,69.4,51.7,15.5,0.91,5.9,0.81,0.81,11.8,Matches,277da414
159,Ionuț Radu,ro ROU,GK,Inter,it Serie A,24,1997,1.0,2.00,0.00,0.00,0.00,0.00,1.60,0.53,-0.40,-0.41,4.00,8.00,50.0,19.0,2.00,36.8,33.3,4.00,25.0,29.8,4.00,0.00,0.0,1.00,1.00,16.0,Matches,67f649be
160,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,25,1996,3.0,1.67,0.33,0.33,0.00,0.00,2.13,0.26,0.47,+0.46,7.33,20.7,35.5,24.0,3.33,54.2,41.5,9.33,82.1,51.1,14.0,0.33,2.4,0.33,0.33,13.8,Matches,0dfce079
161,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,25,1995,38.0,1.16,0.13,0.05,0.21,0.00,1.13,0.24,-0.03,-0.03,3.97,12.6,31.5,25.7,5.71,35.5,34.7,7.50,46.7,38.8,16.9,0.97,5.7,1.39,1.39,14.8,Matches,58ad9383
162,Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,19,2001,1.0,1.00,0.00,0.00,0.00,0.00,1.00,0.25,0.00,-0.01,4.00,14.0,28.6,37.0,6.00,32.4,31.6,4.00,50.0,40.0,24.0,3.00,12.5,3.00,3.00,14.8,Matches,b90c4a43
163,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998,34.0,1.15,0.15,0.00,0.09,0.03,1.12,0.26,0.01,0.00,3.94,14.1,27.9,29.2,4.76,34.8,33.2,5.32,74.0,55.1,12.2,0.76,6.3,1.76,1.76,16.4,Matches,466fb2c5
164,Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,32,1988,0.1,10.0,10.0,0.00,0.00,0.00,10.0,0.00,0.00,-0.25,20.0,40.0,50.0,20.0,0.00,100.0,57.0,20.0,100.0,65.5,10.0,0.00,0.0,0.00,0.00,,Matches,d7a35008
165,David Raya,es ESP,GK,Brentford,eng Premier League,25,1995,24.0,1.13,0.17,0.04,0.13,0.00,1.09,0.22,-0.03,-0.03,9.38,22.0,42.7,36.5,4.92,44.4,36.2,8.42,68.3,49.9,16.8,1.13,6.7,1.46,1.46,15.8,Matches,98ea5115
166,Manolo Reina,es ESP,GK,Mallorca,es La Liga,36,1985,21.0,1.24,0.10,0.00,0.05,0.05,1.30,0.32,0.10,+0.11,6.67,17.0,39.2,21.6,3.19,53.9,40.5,8.95,60.1,43.9,15.9,0.67,4.2,0.43,0.43,11.6,Matches,605eb473
167,Pepe Reina,es ESP,GK,Lazio,it Serie A,38,1982,15.0,1.93,0.27,0.00,0.13,0.00,1.58,0.33,-0.35,-0.36,4.40,8.87,49.6,28.6,4.87,24.2,29.8,6.60,29.3,30.1,12.4,0.67,5.4,0.67,0.67,13.7,Matches,e358587b
168,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,26,1995,35.0,0.91,0.11,0.03,0.14,0.00,0.90,0.24,-0.02,-0.02,5.57,13.3,41.8,29.0,3.57,32.6,32.9,6.89,56.0,45.1,13.3,0.51,3.9,1.37,1.37,16.4,Matches,374ee424
169,Sergio Rico,es ESP,GK,Mallorca,es La Liga,27,1993,14.0,2.07,0.21,0.00,0.29,0.14,1.53,0.31,-0.40,-0.40,6.71,14.4,46.8,19.3,3.57,52.2,39.4,6.43,66.7,48.4,13.9,0.14,1.0,0.36,0.36,12.6,Matches,5f0241b2
170,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,27,1993,0.3,3.33,0.00,0.00,0.00,0.00,0.67,0.06,-2.67,-3.23,0.00,3.33,0.0,23.3,3.33,14.3,31.4,0.00,,,16.7,0.00,0.0,6.67,7.83,23.5,Matches,5f0241b2
171,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31.0,1.45,0.10,0.03,0.13,0.13,1.36,0.26,0.04,+0.04,15.5,33.5,46.1,45.1,3.29,62.4,43.8,7.94,67.9,48.5,13.5,0.87,6.5,2.32,2.32,19.6,Matches,9f941969
172,Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2.0,2.50,0.50,0.00,0.00,0.50,1.80,0.17,-0.20,-0.18,4.50,13.5,33.3,25.5,3.50,39.2,34.2,8.00,43.8,36.6,18.0,0.50,2.8,2.50,2.50,18.9,Matches,924ff27e
173,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16.0,2.06,0.38,0.00,0.06,0.13,1.91,0.24,-0.03,-0.03,5.63,14.8,38.1,27.7,6.25,38.6,34.6,8.88,45.8,38.8,16.6,0.88,5.3,0.69,0.69,11.8,Matches,1e26e376
174,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,0.4,2.50,0.00,0.00,0.00,0.00,2.50,0.52,0.00,+0.11,5.00,15.0,33.3,30.0,0.00,41.7,37.8,10.0,25.0,39.3,7.50,0.00,0.0,0.00,0.00,18.0,Matches,7b5f516f
175,John Ruddy,eng ENG,GK,Wolves,eng Premier League,34,1986,1.5,2.00,0.00,0.00,0.67,0.00,1.93,0.42,-0.07,-0.05,0.67,7.33,9.1,12.7,2.67,42.1,36.1,9.33,21.4,28.5,8.67,0.67,7.7,0.67,0.67,14.2,Matches,da8b19e2
176,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,32.0,0.88,0.09,0.00,0.06,0.03,0.88,0.25,0.04,+0.04,4.28,10.7,40.2,33.5,5.03,23.9,30.0,6.69,39.7,37.5,14.9,0.69,4.6,1.63,1.63,16.6,Matches,625c144a
177,Mathew Ryan,au AUS,GK,Real Sociedad,es La Liga,29,1992,3.0,1.67,0.33,0.00,1.00,0.00,1.37,0.21,-0.30,-0.31,5.33,18.3,29.1,29.3,4.67,47.7,39.4,6.33,68.4,46.6,19.0,1.00,5.3,1.00,1.00,13.7,Matches,4535e4bb
178,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7.0,0.71,0.00,0.00,0.00,0.14,0.49,0.19,-0.09,-0.09,6.14,17.4,35.2,30.4,4.00,45.1,36.3,6.14,60.5,45.2,11.9,1.57,13.3,0.43,0.43,10.2,Matches,a70b8345
179,José Sá,pt POR,GK,Wolves,eng Premier League,28,1993,36.5,1.10,0.25,0.03,0.03,0.03,1.27,0.24,0.20,+0.20,3.32,11.3,29.4,23.1,5.92,35.4,34.7,7.15,43.3,36.9,15.0,1.18,7.8,1.10,1.10,13.3,Matches,903b6e8b
180,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1.0,2.00,0.00,0.00,0.00,0.00,1.50,0.49,-0.50,-0.53,4.00,7.00,57.1,30.0,8.00,23.3,31.2,3.00,0.0,14.3,11.0,0.00,0.0,1.00,1.00,21.5,Matches,74733221
181,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,23,1997,37.0,1.14,0.08,0.03,0.14,0.00,1.11,0.28,-0.03,-0.03,4.27,15.2,28.2,34.7,5.03,31.9,33.0,6.32,64.5,48.9,14.0,1.62,11.6,0.97,0.97,12.9,Matches,6a713852
182,Giacomo Satalino,it ITA,GK,Sassuolo,it Serie A,22,1999,0.1,0.00,0.00,0.00,0.00,0.00,8.00,0.76,8.00,+7.56,0.00,0.00,,0.00,0.00,,,10.0,0.0,22.0,10.0,0.00,0.0,0.00,0.00,,Matches,b1f0b916
183,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34,1986,37.0,1.57,0.19,0.03,0.38,0.03,1.50,0.26,-0.04,-0.04,5.24,13.1,39.9,27.0,4.49,36.0,34.1,7.86,43.3,37.5,14.4,0.41,2.8,1.03,1.03,14.8,Matches,53af52f3
184,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26,1995,21.0,1.33,0.00,0.10,0.14,0.05,1.50,0.31,0.21,+0.21,5.10,12.0,42.6,40.7,4.19,23.5,28.8,6.86,34.7,35.2,13.5,0.43,3.2,0.71,0.71,13.6,Matches,87436846
185,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29,1992,24.2,2.11,0.21,0.04,0.25,0.00,1.74,0.31,-0.36,-0.36,5.21,13.8,37.8,25.7,5.17,32.9,33.0,8.43,63.2,48.2,16.7,0.70,4.2,1.32,1.32,15.0,Matches,0d55d942
186,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,29,1992,37.0,1.16,0.11,0.00,0.14,0.03,0.95,0.24,-0.19,-0.19,4.43,10.8,40.9,19.4,3.92,39.1,34.3,6.46,50.2,40.6,12.9,0.35,2.7,1.05,1.05,13.7,Matches,834b5c4c
187,Adrian Šemper,hr CRO,GK,Genoa,it Serie A,23,1998,1.0,1.00,0.00,0.00,0.00,0.00,0.90,0.28,-0.10,-0.06,6.00,21.0,28.6,30.0,3.00,50.0,38.5,7.00,85.7,52.0,14.0,2.00,14.3,0.00,0.00,11.2,Matches,f02dde20
188,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,15.5,1.55,0.19,0.00,0.06,0.00,1.59,0.28,0.04,+0.04,10.7,20.6,51.9,27.9,2.90,54.7,40.8,8.39,63.8,46.4,15.2,0.65,4.3,0.84,0.84,16.0,Matches,343f753a
189,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,21.8,0.96,0.09,0.00,0.09,0.00,0.94,0.24,-0.02,-0.02,4.22,12.6,33.5,25.6,4.77,33.8,33.1,8.07,49.4,41.6,15.6,0.83,5.3,1.47,1.47,15.7,Matches,ea83bfa6
190,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35.0,1.43,0.14,0.00,0.11,0.03,1.30,0.29,-0.10,-0.10,4.77,12.3,38.8,19.3,3.03,46.1,36.7,7.20,46.8,38.4,13.2,0.46,3.5,0.29,0.29,11.0,Matches,0d422df7
191,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34.0,0.91,0.09,0.00,0.06,0.03,0.94,0.26,0.06,+0.06,4.26,10.9,39.1,20.4,5.56,35.5,33.8,7.15,51.4,42.3,15.6,0.85,5.5,1.03,1.03,15.2,Matches,5dcf3e90
192,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1.0,1.00,0.00,0.00,0.00,0.00,0.40,0.12,-0.60,-0.64,6.00,13.0,46.2,41.0,4.00,24.4,29.5,6.00,50.0,51.8,18.0,0.00,0.0,0.00,0.00,8.0,Matches,0d8a37c2
193,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37.0,1.59,0.11,0.08,0.19,0.05,1.37,0.26,-0.17,-0.17,6.95,16.4,42.5,24.8,2.70,46.3,36.6,7.11,68.8,45.9,12.9,0.38,2.9,0.54,0.54,12.9,Matches,10dc46f0
194,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,3.1,1.29,0.32,0.00,0.32,0.00,1.90,0.31,0.61,+0.62,9.35,22.3,42.0,21.6,2.90,61.2,44.9,12.9,70.0,51.5,21.3,0.65,3.0,0.97,0.97,14.6,Matches,9970da54
195,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36.0,1.47,0.22,0.03,0.08,0.06,1.48,0.26,0.06,+0.06,5.36,12.8,42.0,26.6,4.56,39.1,34.0,8.17,28.9,26.6,13.8,0.75,5.4,0.39,0.39,11.3,Matches,ab4449d6
196,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33.0,1.82,0.09,0.03,0.15,0.00,1.75,0.30,-0.06,-0.06,4.48,13.7,32.7,37.5,5.06,29.1,31.3,6.79,40.6,37.6,13.6,0.58,4.2,1.64,1.64,16.3,Matches,420c18a1
197,David Soria,es ESP,GK,Getafe,es La Liga,28,1993,37.9,1.08,0.05,0.00,0.13,0.03,1.08,0.29,0.02,+0.02,9.71,22.8,42.5,23.4,2.66,69.7,46.7,7.70,84.6,54.1,15.1,0.66,4.4,1.19,1.19,15.1,Matches,8f8c6934
198,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5.0,1.00,0.40,0.00,0.20,0.00,1.12,0.20,0.12,+0.12,1.60,6.60,24.2,21.4,6.60,14.0,26.0,5.60,64.3,47.0,9.00,0.20,2.2,0.80,0.80,13.9,Matches,ac4003af
199,Jason Steele,eng ENG,GK,Brighton,eng Premier League,30,1990,1.0,2.00,0.00,0.00,1.00,0.00,1.60,0.33,-0.40,-0.37,2.00,6.00,33.3,32.0,2.00,9.4,23.9,6.00,50.0,40.0,16.0,0.00,0.0,0.00,0.00,9.3,Matches,28300a16
200,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1.0,3.00,0.00,0.00,0.00,0.00,2.20,0.55,-0.80,-0.81,3.00,11.0,27.3,32.0,7.00,28.1,30.4,6.00,33.3,31.2,11.0,1.00,9.1,1.00,1.00,16.3,Matches,a8a3d139
201,Zack Steffen,us USA,GK,Manchester City,eng Premier League,26,1995,1.0,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.10,+0.15,1.00,6.00,16.7,32.0,6.00,15.6,23.4,7.00,14.3,19.3,10.0,0.00,0.0,3.00,3.00,16.6,Matches,42130443
202,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,26,1995,23.0,1.26,0.04,0.04,0.13,0.04,1.24,0.32,0.03,+0.03,3.43,7.00,49.1,26.9,4.00,22.2,28.5,5.17,20.2,23.6,12.3,0.48,3.9,0.70,0.70,14.5,Matches,339fe0e8
203,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,31,1990,33.0,0.88,0.09,0.06,0.15,0.00,0.93,0.24,0.05,+0.05,3.76,8.27,45.4,25.3,4.82,26.6,30.8,5.21,29.7,31.5,14.6,0.73,5.0,0.76,0.76,13.5,Matches,01b8a2b2
204,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,35,1986,6.0,1.67,0.33,0.00,0.17,0.17,1.48,0.25,-0.02,-0.02,5.50,12.3,44.6,28.0,2.33,36.3,33.3,6.00,36.1,35.0,13.7,1.00,7.3,0.50,0.50,12.5,Matches,b056e3da
205,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,29,1992,35.0,0.97,0.06,0.00,0.17,0.00,0.86,0.26,-0.11,-0.11,3.71,7.29,51.0,30.6,4.20,17.6,26.9,5.86,32.2,33.9,9.77,0.43,4.4,0.97,0.97,15.3,Matches,6f51e382
206,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,31,1990,31.8,1.35,0.06,0.00,0.06,0.06,0.99,0.29,-0.30,-0.29,6.19,14.6,42.5,42.6,4.43,29.8,32.2,5.35,35.3,33.7,9.15,0.69,7.6,1.60,1.60,16.7,Matches,e1b0a70d
207,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,31,1990,32.0,1.44,0.13,0.00,0.09,0.03,1.59,0.30,0.18,+0.18,4.91,16.8,29.1,31.3,4.56,41.8,34.6,7.81,48.4,42.6,13.3,0.59,4.5,1.34,1.34,16.4,Matches,ce17b5eb
208,Philipp Tschauner,de GER,GK,RB Leipzig,de Bundesliga,35,1985,0.0,0,0,0,0,0,0.0,,0.0,0.00,1,2,50.0,5,0,40.0,36.4,0,,,0,0,,0,0.00,,Matches,73e2f6eb
209,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,32,1988,6.0,1.83,0.17,0.17,0.17,0.17,1.45,0.34,-0.22,-0.22,1.67,5.33,31.3,32.8,5.17,14.2,25.2,6.33,10.5,20.2,9.00,0.50,5.6,1.67,1.67,19.2,Matches,7d3e7da6
210,Benjamin Uphoff,de GER,GK,Freiburg,de Bundesliga,27,1993,2.0,3.50,0.00,0.00,1.00,0.00,1.50,0.25,-2.00,-2.01,11.0,25.5,43.1,35.0,7.00,44.3,34.4,10.0,100.0,63.2,17.0,2.00,11.8,0.50,0.50,6.3,Matches,a9a6fc08
211,Rúben Vezo,pt POR,DF,Levante,es La Liga,27,1994,26.9,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.07,0.15,50.0,0.11,0.00,100.0,57.0,0.04,100.0,65.0,0.15,0.00,0.0,0.00,0.00,,Matches,c67cd65c
212,Guglielmo Vicario,it ITA,GK,Empoli,it Serie A,24,1996,38.0,1.84,0.13,0.03,0.13,0.16,1.72,0.28,0.03,+0.03,3.50,10.2,34.5,28.1,5.66,26.2,29.5,6.76,41.6,37.5,15.8,0.92,5.8,1.00,1.00,13.9,Matches,77d6fd4d
213,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,28,1993,1.0,1.00,0.00,0.00,1.00,0.00,1.40,0.28,0.40,+0.42,2.00,5.00,40.0,26.0,8.00,19.2,25.8,7.00,0.0,19.3,18.0,1.00,5.6,1.00,1.00,10.7,Matches,d3ce0e89
214,Freddie Woodman,eng ENG,GK,Newcastle Utd,eng Premier League,24,1997,4.0,3.00,0.50,0.00,0.00,0.00,2.20,0.29,-0.80,-0.80,5.75,16.5,34.8,19.8,2.75,50.6,38.1,9.75,66.7,47.9,13.8,0.75,5.5,0.00,0.00,7.8,Matches,19e50035
215,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,26,1994,32.0,1.31,0.13,0.00,0.13,0.03,1.22,0.29,-0.06,-0.06,3.72,12.2,30.6,23.9,5.19,36.9,34.4,7.38,44.9,39.4,13.2,0.91,6.9,2.13,2.13,17.9,Matches,5c4bf6ba
216,Luca Zidane,fr FRA,GK,Rayo Vallecano,es La Liga,23,1998,7.2,1.81,0.00,0.00,0.14,0.00,1.67,0.33,-0.14,-0.14,5.83,13.1,44.7,24.7,5.83,36.0,34.6,7.36,56.6,46.6,12.5,1.25,10.0,0.83,0.84,11.0,Matches,c818c4d9
217,Jeroen Zoet,nl NED,GK,Spezia,it Serie A,30,1991,7.0,2.71,0.14,0.00,0.43,0.00,1.87,0.26,-0.84,-0.84,2.86,9.86,29.0,26.0,5.86,26.9,30.7,7.71,37.0,37.4,13.6,0.29,2.1,0.86,0.86,16.4,Matches,cc1a0c57
218,Petar Zovko,ba BIH,GK,Spezia,it Serie A,19,2002,0.3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,3.33,13.3,25.0,26.7,10.0,37.5,35.9,6.67,50.0,35.0,13.3,0.00,0.0,6.67,6.21,28.5,Matches,54f6afe3